Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1233756,131566,2600.0,2660.505831115018,0.3898350005329121,120645.56320300107,3.081940027039382,84.42437172820904,9.002895946032725,2600,2600,2600,2600,3600,4000,5100,6600,36000,107000,121000
GET,/404-generator,246628,246628,2600.0,2663.4039118222927,0.39277199903153814,118314.7999219982,9.11721296851939,16.876443924556185,16.876443924556185,2600,2600,2600,2600,3600,3900,5100,6600,38000,107000,118000
GET,/slow,493006,44074,2800.0,2881.3848372164534,0.3718899988598423,119351.70886800006,7.284795722567271,33.735780663467835,3.01592840038799,2800,2900,2900,2900,3800,4200,5400,6800,34000,107000,119000
,Aggregated,1973390,422268,2600.0,2716.049551885404,0.3718899988598423,120645.56320300107,4.886195835592559,135.03659631623307,28.8952682709769,2600,2700,2800,2900,3600,4000,5200,6700,36000,107000,121000
