timestamp,requests_per_second,cpu_usage_percent,memory_usage_bytes,latency_p95_ms,active_connections,error_rate,cpu_acceleration,rps_acceleration,current_replicas,hour_sin,hour_cos,dow_sin,dow_cos,is_weekend,rps_t5,rps_t10,rps_t15,replicas_t5,replicas_t10,replicas_t15,segment_id,rps_t3m,rps_t5m,rps_t10m,replicas_t3m,replicas_t5m,replicas_t10m
2026-03-06 11:59:30+00:00,2.8970688888888887,0.2519980039028983,15144960.0,440.0722885198576,1.0,0.1643256975826514,0.0624628524496491,2.458193777777778,2.0,0.258819045102521,-0.9659258262890682,-0.433883739117558,-0.9009688679024191,0,4.911111111111111,32.53333333333333,28.71111111111111,2.0,2.0,2.0,0,,,,,,
2026-03-06 11:59:45+00:00,3.997543888888889,0.2518597567288685,15183872.0,438.5538300414846,0.0,0.1177060010065004,0.0518514773195381,3.6487697777777774,2.0,0.258819045102521,-0.9659258262890682,-0.433883739117558,-0.9009688679024191,0,4.71111111111111,48.08888888888888,22.177777777777774,2.0,2.0,2.0,0,,,,,,
2026-03-06 12:00:00+00:00,4.822222222222222,0.2389007796227795,15190016.0,432.513083231702,2.0,0.1059907834101382,0.0351113317722597,3.772633037037037,2.0,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,0,4.844444444444444,63.77777777777778,14.177777777777775,2.0,2.0,2.0,0,,,,,,
2026-03-06 12:00:15+00:00,4.71111111111111,0.2475853525093873,15210496.0,436.5483329455729,1.0,0.080188679245283,0.0218207835712314,3.41658911111111,2.0,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,0,4.666666666666666,72.35555555555555,11.533333333333331,2.0,2.0,2.0,0,,,,,,
2026-03-06 12:00:30+00:00,4.822222222222222,0.2559088683240528,15224832.0,429.6913002445612,0.0,0.1059907834101382,0.0122394591708915,3.270737244444444,2.0,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,0,4.71111111111111,70.97777777777776,18.02222222222222,2.0,2.0,2.0,0,,,,,,
2026-03-06 12:00:45+00:00,4.933333333333333,0.264515917806183,15241216.0,428.780452099692,0.0,0.1216216216216216,0.0177045444671924,3.1383202222222217,2.0,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,0,4.777777777777778,58.79399444444444,25.066666666666663,2.0,2.0,2.0,0,,,,,,
2026-03-06 12:01:00+00:00,5.044444444444444,0.2612560623112668,15269888.0,428.2374409890618,1.0,0.1277533039647577,-0.026221829364046,2.9862404444444444,2.0,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,0,4.8,46.47199722222221,26.42222222222222,2.0,2.0,2.0,0,,,,,,
2026-03-06 12:01:15+00:00,4.888888888888888,0.2779009705712286,15282176.0,430.2655879363218,0.0,0.1090909090909091,0.0029003419213451,2.603430999999999,2.0,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,0,4.888888888888888,35.24444444444444,26.377777777777776,2.0,2.0,2.0,0,,,,,,
2026-03-06 12:01:30+00:00,4.911111111111111,0.2722918614171986,15273984.0,430.6966037638908,0.0,0.1176470588235294,-0.0126801518985099,2.378334716049382,2.0,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,0,5.355555555555555,34.53333333333333,26.688888888888886,2.0,2.0,2.0,0,,,,,,
2026-03-06 12:01:45+00:00,4.7333333333333325,0.2820416904871847,15306752.0,431.3793041276988,1.0,0.107981220657277,0.0201280367489695,1.9683578666666657,2.0,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,0,6.866666666666666,34.33333333333333,26.62222222222222,2.0,2.0,2.0,0,,,,,,
2026-03-06 12:02:00+00:00,4.733333333333333,0.2828700434464665,15321088.0,434.28551512712886,0.0,0.1455399061032863,0.0171508855516395,1.7402551515151514,2.0,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,0,7.488888888888888,34.355555555555554,26.911111111111108,2.0,2.0,2.0,0,,,,,,
2026-03-06 12:02:15+00:00,4.644444444444444,0.2847611097540918,15321088.0,432.10513561929065,0.0,0.1531100478468899,-0.0014680129816947,1.4189029999999994,2.0,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,0,6.844444444444444,34.84444444444444,39.266666666666666,2.0,2.0,2.0,0,,,,,,
2026-03-06 12:02:30+00:00,4.7333333333333325,0.2782636919972572,15304704.0,431.45988850640896,0.0,0.1784037558685446,0.0095952434274548,1.2605877948717945,2.0,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,0,8.222222222222221,36.04444444444445,54.888888888888886,2.0,2.0,2.0,0,,,,,,
2026-03-06 12:02:45+00:00,4.7333333333333325,0.2710730805813498,15316992.0,428.924722211945,1.0,0.1643192488262911,0.0062054847931719,1.0317290793650784,2.0,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,0,14.599999999999998,31.555555555555557,69.84444444444443,2.0,2.0,2.0,0,,,,,,
2026-03-06 12:03:00+00:00,4.844444444444444,0.2484422880343866,15323136.0,427.7198534813965,0.0,0.1513761467889908,0.0079326847831882,0.8918718518518514,2.0,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,0,22.177777777777774,21.288888888888888,72.71111111111111,2.0,2.0,2.0,0,,,,,,
