Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1772861465,50,,Aggregated,28.100000,4.800000,720,760,800,850,960,1000,1100,1100,1200,1200,1200,627,105,720.0,751.772239423017,545.0796549994266,1235.1528099970892,5.609250398724083
1772861466,50,,Aggregated,28.200000,4.400000,710,760,800,850,960,1000,1100,1100,1200,1200,1200,656,109,710.0,749.9770795750409,545.0796549994266,1235.1528099970892,5.5823170731707314
1772861467,50,,Aggregated,28.300000,4.500000,710,760,800,850,950,1000,1100,1100,1200,1200,1200,685,116,710.0,749.2931125565758,545.0796549994266,1235.1528099970892,5.588321167883212
1772861468,50,,Aggregated,28.000000,4.600000,710,760,800,850,960,1000,1100,1100,1200,1200,1200,708,118,710.0,748.4832517193713,545.0796549994266,1235.1528099970892,5.55225988700565
1772861469,50,,Aggregated,28.500000,4.900000,700,750,800,840,960,1000,1100,1100,1200,1200,1200,742,122,700.0,747.0601080327332,545.0796549994266,1235.1528099970892,5.506738544474394
1772861470,50,,Aggregated,28.500000,5.100000,700,750,800,840,960,1000,1100,1100,1200,1200,1200,768,124,700.0,746.6469272646729,545.0796549994266,1235.1528099970892,5.485677083333333
1772861471,50,,Aggregated,28.200000,4.800000,700,750,790,840,950,1000,1100,1100,1200,1200,1200,818,151,700.0,722.3095941128327,1.449589995900169,1235.1528099970892,5.28361858190709
1772861472,50,,Aggregated,28.700000,4.800000,690,740,780,820,950,1000,1100,1100,1200,1200,1200,873,206,690.0,677.0187766682386,1.0950290015898645,1235.1528099970892,4.950744558991982
1772861473,50,,Aggregated,28.200000,4.400000,690,730,770,800,940,1000,1100,1100,1200,1200,1200,912,245,690.0,648.2395265957645,0.8460550016025081,1235.1528099970892,4.739035087719298
1772861474,50,,Aggregated,31.200000,8.100000,680,730,770,800,930,1000,1100,1100,1200,1200,1200,970,303,680.0,609.674487838485,0.7179920066846535,1235.1528099970892,4.455670103092784
1772861475,50,,Aggregated,32.900000,12.000000,680,720,760,790,930,1000,1100,1100,1200,1200,1200,1008,341,680.0,586.8297830916234,0.7179920066846535,1235.1528099970892,4.287698412698413
1772861476,50,,Aggregated,34.900000,16.400000,670,710,750,780,920,1000,1100,1100,1200,1200,1200,1061,394,670.0,557.7434436789663,0.7179920066846535,1235.1528099970892,4.0735155513666355
1772861477,50,,Aggregated,37.400000,20.900000,670,710,750,780,910,990,1100,1100,1200,1200,1200,1111,444,670.0,532.8772215683315,0.7179920066846535,1235.1528099970892,3.89018901890189
1772861478,50,,Aggregated,38.400000,24.300000,660,700,740,770,900,990,1100,1100,1200,1200,1200,1164,497,660.0,508.85608693079433,0.7179920066846535,1235.1528099970892,3.7130584192439864
1772861479,50,,Aggregated,40.700000,29.000000,660,700,740,770,900,990,1100,1100,1200,1200,1200,1216,549,660.0,487.24664033510345,0.5699490138795227,1235.1528099970892,3.554276315789474
1772861480,50,,Aggregated,43.100000,33.700000,650,700,730,760,890,980,1100,1100,1200,1200,1200,1260,593,650.0,470.30423105043445,0.5699490138795227,1235.1528099970892,3.43015873015873
1772861481,50,,Aggregated,45.700000,38.600000,640,690,730,750,880,980,1100,1100,1200,1200,1200,1314,647,640.0,451.0368653459028,0.5699490138795227,1235.1528099970892,3.289193302891933
1772861482,50,,Aggregated,47.500000,43.300000,640,690,720,750,870,980,1000,1100,1200,1200,1200,1360,693,630.0,435.83599077905734,0.5699490138795227,1235.1528099970892,3.177941176470588
1772861483,50,,Aggregated,49.400000,47.700000,620,680,720,740,870,970,1000,1100,1200,1200,1200,1407,740,620.0,421.3270301261115,0.5699490138795227,1235.1528099970892,3.0717839374555793
1772861484,50,,Aggregated,49.100000,49.100000,610,680,710,740,860,970,1000,1100,1200,1200,1200,1464,797,610.0,404.98099465333183,0.5699490138795227,1235.1528099970892,2.952185792349727
1772861485,50,,Aggregated,48.900000,48.900000,600,680,710,740,850,970,1000,1100,1200,1200,1200,1513,846,600.0,391.90153472004306,0.5699490138795227,1235.1528099970892,2.856576338400529
1772861486,50,,Aggregated,49.000000,49.000000,580,670,700,730,840,960,1000,1100,1200,1200,1200,1561,894,580.0,379.88783178056127,0.5699490138795227,1235.1528099970892,2.76873798846893
1772861487,50,,Aggregated,48.900000,48.900000,17,670,700,730,840,960,1000,1100,1200,1200,1200,1610,943,17,368.3639673233251,0.5699490138795227,1235.1528099970892,2.684472049689441
1772861488,50,,Aggregated,50.100000,50.100000,15,660,700,720,830,950,1000,1100,1200,1200,1200,1663,996,15,356.66061884699315,0.5699490138795227,1235.1528099970892,2.598917618761275
1772861489,50,,Aggregated,50.200000,50.200000,12,660,700,720,820,950,1000,1100,1200,1200,1200,1715,1048,12,345.8898704236648,0.5699490138795227,1235.1528099970892,2.520116618075802
1772861490,50,,Aggregated,49.700000,49.700000,11,660,690,720,810,950,1000,1100,1200,1200,1200,1760,1093,11,337.08965837471294,0.5699490138795227,1235.1528099970892,2.455681818181818
1772861491,50,,Aggregated,49.800000,49.800000,3,650,690,710,810,940,1000,1100,1200,1200,1200,1812,1145,3,327.4586662485813,0.5699490138795227,1235.1528099970892,2.3852097130242824
1772861492,50,,Aggregated,50.100000,50.100000,3,650,690,710,800,940,1000,1100,1200,1200,1200,1861,1194,3,318.8683862404146,0.5699490138795227,1235.1528099970892,2.322407307898979
1772861493,50,,Aggregated,49.800000,49.800000,2,640,680,710,800,940,1000,1100,1200,1200,1200,1909,1242,2,310.88661945331916,0.5699490138795227,1235.1528099970892,2.2640125720272395
1772861494,50,,Aggregated,50.100000,50.100000,2,640,680,700,800,930,1000,1100,1200,1200,1200,1956,1289,2,303.44876426600985,0.5699490138795227,1235.1528099970892,2.2096114519427403
1772861495,50,,Aggregated,50.600000,50.600000,2,630,680,700,790,930,1000,1100,1200,1200,1200,2007,1340,2,295.7729082139338,0.5699490138795227,1235.1528099970892,2.153462879920279
1772861496,50,,Aggregated,50.300000,50.300000,2,630,680,700,790,930,1000,1100,1200,1200,1200,2058,1391,2,288.474256481711,0.5699490138795227,1235.1528099970892,2.1000971817298346
1772861497,50,,Aggregated,50.300000,50.300000,2,630,680,700,790,930,1000,1100,1200,1200,1200,2058,1391,2,288.474256481711,0.5699490138795227,1235.1528099970892,2.1000971817298346
1772861498,50,,Aggregated,50.300000,50.300000,2,630,680,700,790,930,1000,1100,1200,1200,1200,2058,1391,2,288.474256481711,0.5699490138795227,1235.1528099970892,2.1000971817298346
1772861499,50,,Aggregated,49.000000,49.000000,2,630,680,700,800,960,1100,2500,2700,2800,2800,2083,1394,2,315.7315027884783,0.5699490138795227,2783.3675170113565,2.14114258281325
1772861500,50,,Aggregated,44.100000,44.100000,2,640,680,710,840,990,2500,2500,2900,2900,2900,2108,1400,2,342.9145637349909,0.5699490138795227,2938.581217007595,2.1888045540796965
1772861501,50,,Aggregated,44.100000,44.100000,2,640,680,710,840,990,2500,2500,2900,2900,2900,2108,1400,2,342.9145637349909,0.5699490138795227,2938.581217007595,2.1888045540796965
1772861502,100,,Aggregated,36.600000,33.900000,2,640,690,710,840,1000,2500,2500,2900,2900,2900,2113,1401,2,348.03270943178643,0.5699490138795227,2938.581217007595,2.1940369143398013
1772861503,150,,Aggregated,34.200000,30.100000,2,650,690,720,890,1100,2500,2600,2900,2900,2900,2147,1402,2,383.7069076988288,0.5699490138795227,2938.581217007595,2.2310200279459713
1772861504,200,,Aggregated,28.600000,24.500000,2,660,700,740,970,2500,2600,2700,2900,2900,2900,2206,1412,2,444.17487610080207,0.5699490138795227,2941.8900290038437,2.315956482320943
1772861505,250,,Aggregated,24.200000,19.500000,3,660,710,760,1000,2600,2700,2800,2900,3000,3000,2248,1419,3,486.0480920183994,0.5699490138795227,2955.470877001062,2.3705516014234878
1772861506,250,,Aggregated,23.400000,15.300000,4,670,730,790,2500,2600,2800,2900,3900,5000,5000,2316,1430,3,554.4553496690016,0.5699490138795227,4984.152649005409,2.4620034542314335
1772861507,250,,Aggregated,24.000000,11.300000,12,690,760,880,2600,2600,2800,2900,3900,5000,5000,2405,1446,12,632.6112270978928,0.5699490138795227,4984.152649005409,2.5783783783783782
1772861508,250,,Aggregated,23.600000,7.100000,15,690,780,950,2600,2700,2900,2900,4700,5800,5800,2464,1459,15,684.371032823173,0.5699490138795227,5847.85815300711,2.67775974025974
1772861509,250,,Aggregated,26.500000,3.900000,170,700,830,1000,2600,2700,2900,2900,4700,5800,5800,2524,1471,160.0,729.2225468174881,0.5699490138795227,5847.85815300711,2.741283676703645
1772861510,250,,Aggregated,35.800000,5.700000,600,720,920,2500,2600,2700,2900,2900,4700,5800,5800,2603,1487,600.0,785.4820067638772,0.5699490138795227,5847.85815300711,2.8301959277756437
1772861511,250,,Aggregated,41.100000,6.900000,620,740,1000,2500,2600,2700,2900,2900,4700,5800,5800,2683,1497,620.0,839.6077360720674,0.5699490138795227,5847.85815300711,2.9012299664554604
1772861512,250,,Aggregated,44.300000,7.900000,630,760,1100,2500,2600,2700,2900,2900,4700,5800,5800,2734,1505,630.0,871.9931617697158,0.5699490138795227,5847.85815300711,2.944403803950256
1772861513,250,,Aggregated,50.000000,8.800000,640,780,2500,2500,2600,2700,2900,2900,4700,5800,5800,2799,1510,640.0,912.4430242148928,0.5699490138795227,5847.85815300711,2.998213647731333
1772861514,250,,Aggregated,58.600000,9.900000,650,850,2500,2500,2600,2700,2900,2900,4700,5800,5800,2887,1520,650.0,964.4323848218057,0.5699490138795227,5847.85815300711,3.073432629026671
1772861515,250,,Aggregated,62.400000,10.500000,660,930,2500,2500,2600,2800,2900,2900,4700,5800,5800,2961,1530,660.0,1006.0067151997875,0.5699490138795227,5847.85815300711,3.144883485309017
1772861516,250,,Aggregated,65.900000,10.800000,670,970,2500,2500,2600,2800,2900,2900,4600,5800,5800,3005,1537,670.0,1029.514221791532,0.5699490138795227,5847.85815300711,3.177371048252912
1772861517,250,,Aggregated,69.100000,10.900000,680,1100,2500,2500,2600,2800,2900,2900,4600,5800,5800,3084,1546,680.0,1069.4433568526183,0.5699490138795227,5847.85815300711,3.2302204928664073
1772861518,250,,Aggregated,71.500000,11.200000,690,2500,2500,2500,2600,2800,2900,2900,4600,5800,5800,3171,1558,690.0,1111.3755277920327,0.5699490138795227,5847.85815300711,3.2872910753705455
1772861519,250,,Aggregated,69.100000,10.800000,690,2500,2500,2500,2600,2800,2900,2900,4600,5800,5800,3224,1573,690.0,1135.5425490466869,0.5699490138795227,5847.85815300711,3.3259925558312653
1772861520,250,,Aggregated,67.300000,9.800000,700,2500,2500,2600,2600,2800,2900,2900,4600,5800,5800,3287,1579,700.0,1163.7474058419975,0.5699490138795227,5847.85815300711,3.3672041375114086
1772861521,250,,Aggregated,70.800000,10.000000,710,2500,2500,2600,2700,2800,2900,2900,4600,5800,5800,3374,1593,710.0,1200.6265693715611,0.5699490138795227,5847.85815300711,3.423532898636633
