timestamp,cpu_utilization_pct,memory_utilization_pct,latency_p95_ms,active_connections,error_rate,rps_per_replica,replicas_normalized,cpu_acceleration,rps_acceleration,hour_sin,hour_cos,dow_sin,dow_cos,is_weekend,rps_t3m,rps_t5m,rps_t10m,replicas_t3m,replicas_t5m,replicas_t10m,segment_id
2026-03-06 11:59:45+00:00,1.2877060607183572,11.29302978515625,438.6595565301371,0.0,0.1200799685593698,1.62979,0.1,0.0155667047882817,0.5675722222222221,0.258819045102521,-0.9659258262890682,-0.433883739117558,-0.9009688679024191,0,4.7333333333333325,4.71111111111111,48.08888888888888,2.0,2.0,2.0,0
2026-03-06 12:00:00+00:00,1.2592987836443428,11.3128662109375,432.5530716657554,2.0,0.1059907834101382,2.411111111111111,0.1,-0.0284072770740144,0.7813211111111109,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,0,4.844444444444444,4.844444444444444,63.77777777777778,2.0,2.0,2.0,0
2026-03-06 12:00:15+00:00,1.2410368093997808,11.3311767578125,436.5624235039012,1.0,0.080188679245283,2.355555555555555,0.1,-0.0182619742445619,-0.0555555555555558,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,0,4.866666666666666,4.666666666666666,72.35555555555555,2.0,2.0,2.0,0
2026-03-06 12:00:30+00:00,1.285279802041981,11.3433837890625,429.69741368824174,0.0,0.1059907834101382,2.411111111111111,0.1,0.0442429926422001,0.0555555555555558,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,0,5.022222222222222,4.71111111111111,70.97777777777776,2.0,2.0,2.0,0
2026-03-06 12:00:45+00:00,1.1814690221863016,11.3555908203125,428.7836577916582,0.0,0.1216216216216216,2.4666666666666663,0.1,-0.1038107798556793,0.0555555555555553,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,0,4.955555555555555,4.777777777777778,58.78408888888888,2.0,2.0,2.0,0
2026-03-06 12:01:00+00:00,1.3193744318386107,11.376953125,428.24001390491816,1.0,0.1277533039647577,2.522222222222222,0.1,0.1379054096523091,0.0555555555555558,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,0,4.977777777777777,4.8,46.46704444444444,2.0,2.0,2.0,0
2026-03-06 12:01:15+00:00,1.3255407931211751,11.37237548828125,430.267046022196,0.0,0.1090909090909091,2.444444444444444,0.1,0.0061663612825644,-0.0777777777777779,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,0,4.755555555555555,4.888888888888888,35.24444444444444,2.0,2.0,2.0,0
2026-03-06 12:01:30+00:00,1.2681119283975282,11.3861083984375,430.69776231914335,0.0,0.1176470588235294,2.455555555555556,0.1,-0.0574288647236469,0.011111111111111,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,0,4.911111111111111,5.355555555555555,34.53333333333333,2.0,2.0,2.0,0
2026-03-06 12:01:45+00:00,1.361523065285661,11.3800048828125,431.3787997246904,1.0,0.107981220657277,2.3666666666666663,0.1,0.0934111368881327,-0.088888888888889,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,0,4.71111111111111,6.866666666666666,34.33333333333333,2.0,2.0,2.0,0
2026-03-06 12:02:00+00:00,1.424039169679887,11.4044189453125,434.285228515833,0.0,0.1455399061032863,2.3666666666666667,0.1,0.0625161043942261,4.440892098500626e-16,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,0,4.844444444444444,7.488888888888888,34.355555555555554,2.0,2.0,2.0,0
2026-03-06 12:02:15+00:00,1.4166896932663324,11.41510009765625,432.1049811105953,0.0,0.1531100478468899,2.322222222222222,0.1,-0.0073494764135546,-0.0444444444444447,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,0,4.666666666666666,6.844444444444444,34.84444444444444,2.0,2.0,2.0,0
2026-03-06 12:02:30+00:00,1.4321850096790396,11.4013671875,431.459613522738,0.0,0.1784037558685446,2.3666666666666663,0.1,0.0154953164127071,0.0444444444444442,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,0,4.71111111111111,8.222222222222221,36.04444444444445,2.0,2.0,2.0,0
2026-03-06 12:02:45+00:00,1.3821861306425816,11.4044189453125,428.92447442867774,1.0,0.1643192488262911,2.3666666666666663,0.1,-0.049998879036458,0.0,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,0,4.777777777777778,14.599999999999998,31.55555555555556,2.0,2.0,2.0,0
2026-03-06 12:03:00+00:00,1.3721716630844498,11.4166259765625,427.71967016818274,0.0,0.1513761467889908,2.422222222222222,0.1,-0.0100144675581317,0.0555555555555558,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,0,4.8,22.177777777777774,21.288888888888888,2.0,2.0,2.0,0
