timestamp,requests_per_second,cpu_core_percent,memory_usage_bytes,latency_p95_ms,active_connections,error_rate,cpu_acceleration,rps_acceleration,current_replicas,hour_sin,hour_cos,dow_sin,dow_cos,is_weekend,rps_t3m,rps_t5m,rps_t10m,replicas_t3m,replicas_t5m,replicas_t10m,segment_id
2026-03-06 11:59:30+00:00,2.1349222222222224,0.23551722303052441,15130624.0,440.41369152132347,1.0,0.1636571740789238,0.07220578900806485,1.9319537777777778,2.0,0.258819045102521,-0.9659258262890682,-0.433883739117558,-0.9009688679024191,0,4.7333333333333325,4.9111111111111105,32.53333333333333,2.0,2.0,2.0,0
2026-03-06 11:59:45+00:00,3.2695961111111114,0.25083102299053534,15144960.0,438.6903898159751,0.0,0.11995908419794599,0.06518342108135936,2.8296408888888887,2.0,0.258819045102521,-0.9659258262890682,-0.433883739117558,-0.9009688679024191,0,4.7333333333333325,4.71111111111111,48.08888888888888,2.0,2.0,2.0,0
2026-03-06 12:00:00+00:00,4.822222222222222,0.25185975672886857,15183872.0,432.56418256212214,2.0,0.10599078341013825,-0.0076888536977531285,3.894635259259259,2.0,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,0,4.844444444444444,4.844444444444444,63.77777777777778,2.0,2.0,2.0,0
2026-03-06 12:00:15+00:00,4.71111111111111,0.24820736187995615,15208448.0,436.5662255797082,1.0,0.08018867924528301,0.027566833647425404,3.5388724444444444,2.0,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,0,4.866666666666666,4.666666666666666,72.35555555555555,2.0,2.0,2.0,0
2026-03-06 12:00:30+00:00,4.822222222222222,0.2570559604083962,15224832.0,429.6990314153543,0.0,0.10599078341013825,0.002206333250043907,3.394201244444444,2.0,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,0,5.022222222222222,4.71111111111111,70.97777777777776,2.0,2.0,2.0,0
2026-03-06 12:00:45+00:00,4.933333333333333,0.2581280465327607,15224832.0,428.78449433058074,0.0,0.12162162162162161,0.0153537720093736,3.261728,2.0,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,0,4.955555555555555,4.777777777777778,58.78422333333332,2.0,2.0,2.0,0
2026-03-06 12:01:00+00:00,5.044444444444444,0.26387488636772216,15269888.0,428.24067834182256,1.0,0.1277533039647577,0.004158276192980037,3.1108128253968252,2.0,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,0,4.977777777777777,4.8,46.46711166666666,2.0,2.0,2.0,0
2026-03-06 12:01:15+00:00,4.888888888888888,0.2651081586242351,15263744.0,430.267419525474,0.0,0.1090909090909091,-0.014442453578532799,2.726979333333333,2.0,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,0,4.755555555555555,4.888888888888888,35.24444444444444,2.0,2.0,2.0,0
2026-03-06 12:01:30+00:00,4.9111111111111105,0.2561750135471251,15282176.0,430.6980571760879,0.0,0.11764705882352941,0.002197818500632276,2.502023604938271,2.0,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,0,4.9111111111111105,5.355555555555555,34.53333333333333,2.0,2.0,2.0,0
2026-03-06 12:01:45+00:00,4.7333333333333325,0.27230461305713216,15273984.0,431.37867202761737,1.0,0.10798122065727699,0.016755348644446777,2.0914845333333334,2.0,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,0,4.71111111111111,6.866666666666666,34.33333333333333,2.0,2.0,2.0,0
